term	translation
A posteriori	 a posteriori 
Ab actis	 ab actis 
Ab ovo	 ab ovo 
Abacum	 bad abbach 
Abacus	 ábaco 
Abbas Petrus	 abbé pierre 
Abbatia Ladinorum	 badia 
Abbatia territorialis	 abadia territorial 
Abbatis Cella interior	 cantão de appenzell interior 
Abbatis cella exterior	 appenzell exterior 
Abdomen	 abdómen 
Abecedarium Glagoliticum	 alfabeto glagolítico 
Abecedarium Phoneticum Internationale	 alfabeto fonético internacional 
Abortus	 aborto 
Abscessus	 abcesso 
Aorta abdominalis	 aorta abdominal 
Artemisia absinthium	 absinto · absíntio · losna 
Christum	Cristo
Deum	Deus
Ecclesiam	Igreja
Homines amati ab omnibus	 pessoas amadas por todos 
Iesum	Jesus
Ioannes a Turrecremata	 juan de torquemada 
Musculus abductor pollicis brevis	 músculo abdutor curto do polegar 
Musculus abductor pollicis longus	 músculo abdutor longo do polegar 
Musculus rectus abdominis	 músculo reto do abdome 
Nervus abducens	 nervo abducente 
Petrus Abaelardus	 pedro abelardo 
Sigismundus a Luxemburgio	 sigismundo 
Sir mix-a-lot	 sir mix-a-lot 
a	a partir de \ desde \ a
a capite ad calcem	da cabeça aos pés
a contrario sensu	em sentido contrário
a ducor	derivar
a fronte	 pela frente 
a latere	ao lado \ do lado
a limine	desde o início
a loco	embora
a mano	derivar
a posteriori	a posteriori
a priori	a priori \ a priori
a sapiente	por um sábio
a sapienti viro	 por um homem douto · por um homem sábio 
a tale of two cities	a tale of two cities
a vida	 a vida 
a voz do povo e a voz de deus.	voz
a. c.	dc
a. d.	dc
a380	airbus a380
aaahh!!! monstra	aaahh!!! real monsters
aarhusium	århus
aaron	aarão
ab	a partir de \ desde \ de
ab actis	ab actis
ab eo tempore	 daí 
ab mano	 derivar 
ab orior	 derivar 
ab ovo	ab ovo
aba	monte da armenia
abactio	desencorajamento
abactius	roubado
abactor	abactor \ abígeo \ desencorajador
abactus	 desencorajado 
abacuc	habacuc \ habacuque
abaculus	vitral
abacum	bad abbach
abacus	 aparador · bar · bufete · buffet · prateleira · prateleiras · ábaco 
abaelardus	abelardo
abaetere	afastar-se \ arrancar \ ausentar-se
abagmentum	abortivo
abago	desencorajar
abalienatio	abalienação
abalienatus	 abalienado 
abalieno	 abalienar 
abambulo	partir \ ir embora \ sair \ viajar
abancaius	abancay
abante	antes \ em frente
abasci	abecásia
abasia	abasia \ disbasia
abavunculus	tio-avô
abavus	bisavô \ antepassado \ tataravô \ trisavô
abax	mesa
abbas	abade \ clérigo \ padre \ sacerdote \ abade
abbas petrus	abbé pierre
abbatia	abadia \ abadia
abbatia ladinorum	badia
abbatia territorialis	abadia territorial
abbatialis	abacial \ abbacial
abbatis cella	appenzell
abbatis cella exterior	appenzell exterior
abbatis cella interior	cantão de appenzell interior
abbatis pons	pont-l’abbé
abbatis villa	abbeville
abbatissa	abadessa
abbatto	abater
abbreviare	resumir \ tornar a somar \ abreviar
abbreviatio	abreviatura \ abreviação \ abreviatura
abbrevio	abreviar \ encurtar
abdera	abdera \ adra \ cucolândia das nuvens
abdere	 acobertar · afastar · arrancar · banir · decepar · descontar · esconder · ocultar · recortar · subtrair · tirar · tomar · trinchar · truncar 
abdicare	 abdicar · alhear · ceder · demitir-se · desistir · exonerar · submeter-se · transigir 
abdicatio	abdicação \ demissão \ cessão \ submissão
abdico	 abdicar 
abdiko	abdicação
abditorium	escondrijo
abditus	 afastado · escondido 
abdo	 acobertar · arrancar · decepar · descontar · esconder · ir embora · ocultar · partir · recortar · sair · subtrair · tirar · tomar · trinchar · truncar 
abdomen	 abdome · abdómen · abdômen · barriga · pança · ventre 
abdominalis	abdominal
abdominis	 abdome · abdómen · abdômen · barriga · ventre 
abdua	rio adda
abducere	 abduzir 
abduco	 abduzir 
abductio	abducção \ abdução
abductor	abdutor
abdul rahman	abdul rahman
abecarnilum	abecarnil
abecedaria	abc \ abecê \ á-bê-cê \ abecedario
abecedarium	alfabeto \ abc \ abecedário
abecedarium cyrillicum	 alfabeto cirílico 
abecedarium glagoliticum	alfabeto glagolítico
abecedarium latinum	 alfabeto latino 
abecedarium phoneticum internationale	alfabeto fonético internacional
abecedarius	alfabético
abecele	alfabeto
abel	abel
abelardus	abelardo
abella	avella
abellana	avelã
abellinum	avellino
abelmoschus esculentus	quiabeiro \ quiabo
abelsonites	abelsonita
abeo	 desaparecer · ir embora · partir · sair · sumir · viajar 
aberdonia	aberdeen \ aberdeen
abernathyites	abernathyite
abetuculum	veduggio con colzano
abgarus	abgar \ abgaro
abhinc	há \ a partir de \ atrás
abhorreo	 abominar · detestar · odiar 
abhorrere	antipatia \ aversão
abi	 cai fora · ir-se embora · partir 
abicio	jogar fora
abidjan	abidjan \ abidjan
abiectus	banal \ comun \ insignificante
abies	abeto \ embarcação \ nau \ abies
abietarius	marceneiro
abiga	clarim amarelo
abigeator	ladrão
abigeatus	abigeato
abigere	 adiar · afugentar · cinzelar · demitir · desaprovar · descascar · descobrir · despedir · destituir · desvendar · esculpir · exonerar · furtar · gatunar · indeferir · larapiar · lavrar · negar-se a · pelar · procrastinar · rechaçar · recusar · refletir · rejeitar · reprovar · revelar · reverberar · roubar · tirar a pele 
abigeus	ladrão
abigo	descascar \ descobrir \ desencorajar
abimelech	abimelech \ abimeleque
abiogenesis	abiogênese
abire	 abdicar · afastar-se · alhear · aposentar-se · arrancar · ausentar-se · ceder · demitir-se · partir · pôr-se a caminho · pôr-se em marcha · pôr-se em movimento · retirar-se · submeter-se · transigir 
abite	 cai fora 
abitere	afastar-se \ arrancar \ ausentar-se
abitio	partida \ óbito
abitus	partida \ desaparição \ desaparecimento \ saída
abiungere	apartar \ dividir \ separar
abiurare	renunciar \ abjurar
ablacto	desmamar
ablatio	ablação \ aférese
ablative	a
ablative case	a
ablativus	ablativo \ caso ablativo
ablegatio	exílio \ despacho \ desterro
ablego	banir \ desterrar \ exilar
abloco	alugar
abluo	limpar \ purificar
ablutio	ablução \ baptismo \ lavadura
abluvium	dilúvio \ inundação \ cheia \ enchente
abnegatio	abnegação \ desprendimento \ negação
abnego	negar \ recusar \ declinar \ abnegar
abnepos	neto
abneptis	neta
abnormalis	anormal
aboa	turku \ abo
abolefacio	arruinar \ destroçar \ destruir
aboleo	 arruinar · destroçar · destruir · detonar · estraçalhar 
abolere	abolir
abolesco	desaparecer \ esvair \ sumir
abolicio	abolição \ ab-rogação \ anulação
abolitio	abolição \ anistia \ indulto geral
abolitionismus	abolicionismo
abolitor	abolidor
abolla	abolla
abomasus	abomaso \ coagulador \ coalheira
abomiamentum	horror \ abominação \ asco \ repulsão
abominabile	abominável
abominabilis	abominável \ repugnante \ desprezível \ execrável
abominare	abominar \ detestar \ ter nojo de
abominari	abominar \ detestar \ ter nojo de
abominatio	abominação \ asco \ horror \ repulsão
abomino	detestar
aborior	 abortar · desaparecer · falecer · ir-se · sumir 
aboriscor	morrer \ perecer
aborrecer	abominar / detestar / odiar
aborrecían	abominavam / detestavam / odiavam
abortio	aborto
abortus	aborto \ falecido \ aborto de gravidez \ aborto
abra	camareira
abracadabra	abracadabra
abrado	barbear \ raspar \ desgastar
abraham	abraão \ abraão
abrasio	abrasamento \ raspagem
abraxas	abraxas
abrenuntiare	renunciar
abrinca	rio aar
abripio	arrebatar
abrogare	 ab-rogar · revogar 
abrogatio	ab-rogação \ abolição \ supressão
abrogatus	 suprimido 
abrogo	desfazer \ suprimir
abrumpere	 apartar · dividir · separar 
abrupta	 abismo · precipicio 
abruptum	 abertura · abismo · boca · boqueirão · fundão · goela · precipício · pélago · sorvedouro 
abruptus	abrupto \ brusco \ repentino
abs	 a · a partir de · a respeito de · acerca de · ao · com · de · dentro de · desde · em · para · quanto a 
abscedere	 afastar-se · arrancar · ausentar-se · partir · pôr-se a caminho · pôr-se em marcha · pôr-se em movimento · retirar-se 
abscedo	 desaparecer · ir embora · partir · sair · sumir 
abscessus	abscesso \ abcesso \ abcesso
abscindere	 rasgar 
abscissa	abscissa
abscondere	 acobertar · esconder · ocultar 
abscondo	esconder \ ocultar \ acobertar \ minimizar
absedium	assédio
absens	 ausente · desaparecido · faltante · perdido · sumido 
absentia	ausência \ falta \ falto
absento	apartar \ expulsar \ fazer sair
absimilis	diferente
absinthiatum	vermute \ vermute
absinthium	artemísia
absinthius	absinto
absistere	 deixar · parar 
absisto	deixar \ parar
absit omen	 santinho · saúde · viva 
absolutio	absolução \ absolvição
absolutivus	caso absolutivo \ caso absolutivo
absolutorius	absolutório
absolutus	 absoluto · aprimorado · castiço · limpo · mero · perfeito · puro · simples · singelo · só · verdadeiro · vero · verídico 
absolvere	 absolver · soltar 
absolvo	absolver \ acabar \ redimir
absorbens	absorvente
absorbeo	absorver \ tragar
absque	sem
abstentio	abstenção
absterreo	reter
abstinax	abstinente
abstinens	 abstinente 
abstinentia	 abstinência 
abstineo	abster \ excomungar
abstractio	abstração
abstractio cogitationis	abstração
abstractivu	abstrativo
abstractus	 abstracto · abstrato 
abstraho	abstrair \ sacar
absum	ausentar
absumo	 consumir · despender · gastar 
absumptio	consumo
absumptus	destruido
absurditas	absurdismo
absurdum	 absurdo 
absurdus	absurdo \ disparatado \ absurda
abtstinere	abster
abudefduf saxatilis	castanheta-das-rochas
abugia	abuja \ abuja
abugida	abugida
abula	ávila
abundantia	 abundância 
abundantior	mais
abundius	abundio \ abúndio
abundius episcopus	abôndio
abusio	abuso \ catacrese
abusus	 abuso 
abusus sexualis	 abuso sexual 
abutor	abusar
abyssinia	abissínia
abyssus	abismo \ boqueirão \ fundão
ac	e \ mais \ dc
ac perusia	perugia calcio
acacia	acácia \ acácia
academia	academia
academia carrariensis	accademia carrara
academia francica	academia francesa
academia scientiarum francica	académie des sciences
acalanthis	pintassilgo-comum
acanthis	 pintassilgo-comum 
acanthis cannabina	 pintarroxo 
acanthis flavirostris	 pintarroxo de bico amarelo 
acanthocardia aculeata	acanthocardia aculeata
acanthostracion polygonius	acanthostracion polygonius
acanthus	acanto \ erva-gigante \ acácia \ acanto \ erva-gigante
acarnania	acarnânia
acarnaniensis	acarnaniano \ acarnânio
acarus	ácaro \ ácaro
acarus siro	acarus siro
accedo	 acercar · aproximar-se · simular 
accelerare	acelerar \ adiantar \ apressar
acceleratio	aceleração \ aceleração
accelero	acelerar \ apressar \ correr
accendere	 acender · atear 
accendo	 acender 
accenseo	contar
accensere	acrescentar \ adicionar \ ajuntar
accensus	pregoeiro
accentus	acento \ som \ sonido \ acento tónico
accentus acutus	acento agudo
accentus circumflexus	acento circumflexo
accentus gravis	crase
accepta	 bem-vindo 
acceptabilis	agradável \ ameno \ aprazível
acceptae	 bem-vindo 
acceptatio	aceitação \ acolhida \ acolhimento
acceptator	aceitador
accepti	 bem-vindo 
acceptio	admissão
acceptum	 aceite · bem-vindo 
acceptus	 bem-vindo 
accerso	acessar
accessibilitas	acessibilidade \ acessibilidade
accessus	acesso
acci	 guadix 
accidens	 acidente · sinistro 
accidentalis	acidental
accidentia	 acaso · acidêcia · acidência · probabilidade 
accidere	 acontecer · chegar · conseguir · lograr · ser bem sucedido · suceder · ter bom êxito · ter lugar 
accido	acontecer \ suceder \ ocorrer
accingo	cercar \ equipar
accio	buscar \ conjurar \ convocar
accipere	 aceitar · acolher · admitir · agüentar · anuir · aplicar · apor · aturar · capear · ceifar · chapear · cobrir · colher · concordar · cumprimentar · encapar · enfronhar · estar de acordo · estucar · haver · obter · padecer · penar · provar · rebocar · receber · recepcionar · revestir · saudar · sofrer · suportar · tolerar · tomar · topar · vestir 
accipiendus	aceitável
accipio	aceitar \ obedecer \ receber
accipiter	açor \ acípitre \ gavião \ falcão \ acípitre \ açor \ gavião
accipiter gentilis	açor \ açor
accipiter nisus	gavião \ gavião da europa \ gavião da europa
accipiter novaehollandiae	açor-variável
accipitridae	accipitridae \ acipitrídeos
acclamare	 aclamar · ovacionar 
acclamatio	aclamação
acclamo	aclamar
acclaro	revelar
accola	vizinho
accommodare	acrescentar \ adicionar \ ajuntar
accommodatio	ajustamento \ ajuste \ adaptação
acconcilio	aconselhar
accordio	acordeão
accra	acra \ acra \ accra
accreditatio	credenciamento
accrescere	aumentar \ avultar \ crescer \ avolumar
accresco	acrescer
accretio	crescimento
accretivus	acretivo
accumulatio	acumulação
accumulatio capitalis	acumulação de capital
accumulator	acumulador
accumulatrum	bateria recarregável
accumulo	aumentar \ acumular \ amontoar \ progredir
accurate	 assiduamente · com aplicação · com zelo · cuidadosamente · zelosamente 
accuratus	acurado
accuro	cuidar de \ cuidar-se \ ter cuidado
accusabilis	acusável \ culpável \ punível
accusare	 acusar · argüir · criminar · delatar · denunciar · inculpar 
accusatio	acusação \ denúncia \ argüição
accusatio sanguinis	libelo de sangue
accusativus	acusativo \ caso acusativo
accusator	acusador
accusatorius	acusatório
accuso	acusar
accustor	credenciar
acephali	acephali
acephalia	acefalia \ acefalismo
acer	 acerbo · acre · afiado · agudo · aguçado · alerta · amargo · amargoso · amaro · animado · arguto · azedo · bem disposto · bordo · cortante · de primeira · engraçado · espirituoso · estridente · expedito · extrafino · fantástico · fino · forte · incisivo · penetrante · picante · pontiagudo · pontudo · proeminente · puríssimo · quase impalpável · refinado · roble · ríspido · saliente · sutil · tênue · vigoroso · vivaz · vivo · zeloso · ácer · ácido · ágil 
acer pseudoplatanus	 bordo · padreiro · plátano-bastardo 
acerbitas	amargura \ amargor \ acrimônia
acerbus	acerbo \ agudo \ penetrante
acerina	perca
acerra	caixa de guardar incenso para sacrifícios
acerrae	acerra
acersecomes	com cabelo crespo
acetabuliferosa	acetabulífero
acetabulum	acetábulo \ acetábulo
acetaria	salada
aceticus	acético
acetonum	acetona \ acetona
acetositas	acetosidade
acetum	vinagre \ ácido \ aceto \ vinagre
achaea	aquéia
achaemenius	persa
achaenium	aquénio
achaeus	aqueu
achaia	acaia
achara	achern
achates	ágata \ ágata
achelandia	auckland
achernar	achernar
acheron	aqueronte
acheve	afinado \ correcto \ correto
achillea	aquiléia \ mil-em-rama \ mil-folhas \ milfólio
achilles	aquiles \ aquiles
achivus	grego \ grego
aciarium	aço
acidulus	acídulo
acidum	 ácido 
acidum aceticum	ácido etanoico \ ácido acético \ ácido etanoico
acidum aminicum	 aminoácido 
acidum ascorbicum	 ácido ascórbico 
acidum butyricum	ácido butanoico \ ácido butírico \ ácido butanoico
acidum carbonicum	ácido carbônico \ ácido carbónico
acidum carboxylicum	ácido carboxílico \ ácido carboxílico
acidum cyanicum	ácido isociânico
acidum deoxyribonucleinicum	 ácido desoxirribonucléico 
acidum desoxyribonucleicum	 adn · dna · ácido desoxirribonucleico 
acidum formicum	 acido metanoico · ácido fórmico · ácido metanoico · ácido metanóico 
acidum hydrochloricum	ácido clorídrico
acidum hydrocyanicum	 cianeto de hidrogênio 
acidum lacticum	ácido láctico
acidum nucleicum	ácido nucleico \ ácido nucleico
acidum obeticholicum	ácido obeticólico
acidum oxalicum	 ácido oxálico 
acidum phosphoricum	ácido fosfórico \ ácido fosfórico
acidum propionicum	ácido propiônico \ ácido propanoico \ ácido propanóico \ ácido propílico \ ácido propanoico
acidum ribonucleicum	rna
acidum sulfuricum	ácido sulfúrico \ óleo de vitriolo
acidum sulphuricum	ácido sulfúrico \ óleo de vitriolo \ ácido sulfúrico
acidum tiomolibdicum	ácido tiomolíbdico
acidus	ácido \ desagradável \ enjoado
acidus propionicus isobutylphenylus	ibuprofeno
acies	acrimônia \ acuidade \ agrura
acies prima	vanguarda
acihitus	akihito
acinaces	sabre
acinonyx	guepardo \ guepardo \ chita
acinonyx jubatus	acinonyx jubatus
acinus	baga \ baía \ uva
acipenser	camuri \ esturjão \ robalo \ solho-rei \ acipênser
aclys	lança
acne	acne
acoluthus	acólito
acolythus	acólito
aconitum	acônito \ peçonha \ tóxico \ veneno \ acônito
acontiae	estrela cadente
acontizo	jorrar
acre	acre
acrensis	acre
acritas	acrimônia \ acuidade \ agrura
acriter	zelosamente
acrocephalus schoenobaenus	felosa-dos-juncos
acrocomia	coco-baboso
acrolepiidae	acrolepiidae
acromion	acrômio
acronimus	acrónimo
acronymum	acrônimo \ acrónimo
acrophobia	acrofobia
acropolis	acrópolis
acropolis athenarum	acrópole
acror	acrimônia \ acuidade \ agrura
acroterium	acrotério
acta	praia \ costa \ beira
acta apostolorum	 atos dos apóstolos 
acta diurna	jornal \ jornais \ diário \ gazeta
actiaca pugna	batalha de áccio
actinida	actinídeo
actinium	actínio
actinopterygii	actinopterygii
actio	acção \ ação \ actividade \ atuação
actium	actínio \ actium \ áccio
activismus	ativismo
activum	voz verbal
actor	 actor · actriz · actriz ator · agente · artista · ator · atriz · autor · comediante · jogador 
actoris	actor \ atriz \ jogador
actricis	actriz
actrix	atriz \ actriz \ ator
actualis	atual
actualitas	atualidade
actuariola	atuarial
actuarius	atuário
actum	actividade \ acção \ apólice
actuosus	ativo
actus	afinado \ correcto \ correto
actus apostolorum	atos dos apóstolos \ atos dos apóstolos
actus sexuales	relação sexual humana \ relação sexual humana \ comportamento sexual humano
actutum	imediatamente \ logo
acu pingo	 bordar 
acu tango	 acertar em cheio 
acuere	afiar \ aguçar \ acerar \ acuminar
aculeola nigra	aculeola nigra
aculeus	ferrão \ aguilhão \ espinho
acumen	acrimônia \ acuidade \ agrura
acuminarium	apontador de lápis
acumum	montélimar
acuo	estimular
acupictura	bordado \ bordado
acupunctura	acupuntura
acurere	acerar \ afiar \ aguçar
acus	agulha \ alfinete
acus hypodermica	agulha hipodérmica
acus nautica	bússola
acus sarcinatoria	agulha
acustica	acústica \ acústica
acute	afiado \ agudo
acutus	afiado \ agudo \ aguçado
acytota	acytota
ad	a \ para \ com \ dc
ad amussim	à risca, com exatidão
ad bacum	bacău
ad breve	por pouco tempo
ad cautelam	por precaução
ad dextram	à direita
ad fines	pfyn
ad haec	além disso
ad hanc horam	até agora
ad hoc	ad hoc \ além disso
ad infinitum	infinitamente \ ad infinitum \ sem fim \ ao infinito, até o infinito
ad invicem	um ao outro
ad kalendas graecas	no dia de são nunca \ quando a vaca tussa \ quando os porcos voarem \ no dia de são nunca à tarde
ad libitum	de improviso \ à vontade
ad nauseam	ad nauseam
ad nutum	à vontade
ad sacellum	a capela \ a cappella
ad sensum	pelo sentido
ad sinistram	à esquerda
ad ultimum	finalmente
ad unguem	à risca, com exatidão
adaequare	adequar
adaeque	igualmente
adaeratio	adaeratio
adaero	apreciar
adaestuo	inchar
adagium	provérbio \ adágio \ refrão
adalbertus	adalberto
adam	adão
adam iosephus maida	adam joseph maida
adamas	aço \ diamante \ diamante
adamus	adão
adamus bremensis	adão de bremen
adamus smith	adam smith
adansonia	baobá
adaperio	descobrir
adbibere	beber
adcelero	acelerar
adclamo	aclamar
adcola	vizinho
adcresco	acrescer
adcumulator	acumulador
addere	somar \ adicionar \ adicione
adderley	cannonball adderley
addico	sentenciar \ apontar \ condenar
additamentum	adição
additicius	adicional
additio	adição \ adição
additrum	plugin
addo	ajuntar, acrescentar, aumentar \ colocar junto de, pôr juntamente \ trazer
addoceo	ensinar
addoctrino	doutrinar \ endoutrinar
addormio	adormecer
addormisco	adormecer
addua	ain
addubitare	duvidar \ estar em dúvida \ ter dúvida
adducere	trazer \ convocar \ levar consigo \ reunir
adduco	trazer \ levar
adeanum	hadeano
adelhaidis	adelaide
adenocarcinoma	adenocarcinoma
adeo	até aí \ até esse momento \ até esse ponto \ empreender
adeodatus i	papa adeodato i
adeodatus ii	papa adeodato ii
adeps	gordura \ graxa \ tecido adiposo
adeptio	aquisição
adesco	engordar
adesse	estar \ encontrar-se
adfirmo	afirmar \ assegurar \ asseverar
adfixio	fixação
adflecto	influenciar
adfleo	aflorar
adflo	achar
adfundo	afugentar \ fuso
adglomero	aglomerar
adgnosco	desconhecer
adhaerere	aderir
adhibeo	convidar \ aplicar \ empregar, recorrer, fazer uso
adhibere	empregar \ utilizar
adhibitio	admissão
adhortamini	vai \ vamos
adhortare	vai \ vamos
adhortor	encorajar \ estimular \ incentivar
adhuc	ainda \ até agora \ até então
adhunc	ainda
adiacium	ajaccio
adicio	aumentar \ progredir \ anexar
adiectivalis	adjectivo \ adjetivo
adiectivum	adjetivo \ adjectivo \ adjetivo
adiectivus	adjectivo \ adjetivo
adikia	injustiça
adimere	arrancar \ tomar \ decepar
adimo	arrancar \ decepar \ descontar
adinvenio	inventar
adinventio	invenção
adipalis	adiposo \ adípico \ gordo \ gorduroso
adipatus	adiposo \ adípico \ gordo \ gorduroso
adipeus	adiposo \ adípico \ gordo \ gorduroso
adipinus	adiposo \ adípico \ gordo \ gorduroso
adipisci	alcançar \ conseguir \ formar-se \ graduar
adipiscor	chegar a, atingir, alcançar \ obter, adquirir, apoderar-se de
adisyon	conta
aditus	entrada \ acessar \ acesso \ portal
adiumentum	suporte
adiunctio	acompanhamento
adiungere	adicionar
adiungo	agregar \ anexar \ apensar
adiutare	ajudar \ assistir \ socorrer \ auxiliar
adiuto	ajudar \ socorrer
adiutus	suporte
adiuvare	ajudar \ assistir \ auxiliar \ socorrer
adiuvate	ajudar \ ajuda \ socorro
adiuvo	ajudar \ socorrer \ salvar
adjectio	epêntese \ samprasárana
adjectivalis	adjectivo \ adjetivo
adjectivum	adjectivo \ adjetivo
adjectivus	adjectivo \ adjetivo
adjectum	adjectivo \ adjetivo
adjudicare	adjudicar
adjunctum	propriedade \ qualidade
adjutare	acolitar \ adjutorar \ ajudar \ dar ajuda
adjuvare	acolitar \ adjutorar \ ajudar \ dar ajuda
adlego	alegar
adlevamentum	alivio
adlevatio	aliviamento
adlevo	aliviar
adlocutio	alocução
adloquor	saudar
adminiculo	escorar
adminiculum	escora
administer aeroplani	comissário de bordo \ comissário de bordo
administra	ministra
administratio	governo \ administração
administrator	administrador
admirabilitas	admiração
admirari	admirar
admiratio	admiração
admirator	admirador
admiror	encantar-se \ entusiasmar-se \ extasiar-se
admisceo	misturar
admissarius	animal reprodutor \ ganharão
admissio	admissão
admissum	admissão
admittere	diplomar \ formar \ graduar
admodum	absolutamente \ absoluto \ completamente
admonere	advertir \ avisar \ lembrar
admonitio	repreensão
admonitus	admoestação \ repreensão \ conselho
admordeo	almoçar
admordium	almoço
admorsus	almoçado
admugio	resmungar
admulcere	acariciar \ afagar \ mimosear
adnosco	desconhecer
adnotatio	anotação
adnoto	anotar
ado zoli	adone zoli
adolere	cheirar
adolescens	jovem \ adolescente \ garota
adolescentia	adolescente \ moça \ moço
adolescere	aumentar \ avultar \ crescer
adolesco	adolescer \ crescer
adolfus hitler	adolf hitler
adolphus	adolf \ adolfo
adolphus a nassau	adolfo i de nassau
adolphus deucher	adolf deucher
adolphus eichmann	adolf eichmann
adolphus fridericus	adolfo frederico da suécia
adolphus ogi	adolf ogi
adolphus theodorus brongniart	adolphe brongniart
adolphus thiers	louis adolphe thiers
adonis	adônis \ adônis
adoptare	adotar \ adoptar
adoptata	adoptada \ adoptado
adoptatae	adoptada \ adoptado
adoptatarum	adoptada \ adoptado
adoptati	adoptada \ adoptado
adoptatorum	adoptada \ adoptado
