term	translation
a	-ar \ -er \ -ir \ a \ combater \ enfrentar
a abandona	abandonar
a abroga	ab-rogar \ revogar
a absorbi	prender
a abunda	abundar em \ ser rico
a abuza	explorar \ tirar vantagem de
a accelera	acelerar
a achita	pagar
a activa	ativar
a acuza	acusar
a administra	administrar \ gerir
a aduce argumente	discutir
a adăposti	acomodar
a afecta	afetar
a afirma	afirmar
a agoniza	agonizar
a ajusta	confeccionar
a ajuta	ajudar
a alerga	correr
a alina	aliviar
a alinia	alinhar
a anula	anular \ cancelar
a aprecia	dar valor \ valorizar
a arde	arder \ cremar \ queimar
a aresta	prender
a arunca	arremessar \ atirar \ descartar
a arăta	mostrar
a asculta	ouvir \ obedecer \ obtemperar
a asezona	temperar
a asimila	assimilar
a ataca	atacar
a ateriza	aterrar \ aterrissar \ pousar
a atrage	atrair
a auzi	ouvir
a avea	ter
a avea greutatea	pesar
a avea locuință	morar \ viver
a avea nevoie	precisar
a avorta	abortar
a aţâţa	acender
a baleia imaginea	varrer
a bate	acertar \ atingir \ bater \ golpear
a bate în lemn	bater na madeira
a batjocori	ridicularizar
a bea	beber \ tomar
a broken frame	a broken frame
a băga	enxertar \ inserir
a calcula	pesar
a canoni	torturar
a cappella	a cappella \ a cappella
a captiva	prender
a cenzura	censurar
a cere în căsătorie	pedir a mão
a certa	censurar \ incriminar \ repreender
a chicoti	casquinar
a chinui	torturar
a cincea republică franceză	quinta república francesa
a clasifica	categorizar
a coase	coser \ costurar
a colabora	colaborar
a comanda	controlar
a compensa	indenizar
a comprima	apertar \ comprimer \ comprimir \ espremer
a concedia	demitir
a confirma	acusar
a considera	achar
a consuma	utilizar
a contracta	tensionar
a contramanda	cancelar
a controla	controlar \ vistoriar
a convoca	convocar \ reunir
a copia	copiar \ imitar
a corecta	emendar
a coruña	corunha
a cosi fînul	preparar feno \ fenar
a crea	criar
a crede	achar
a crede că	achar
a cresta	índice
a creşte	aumentar
a critica	censurar
a cumpăra	adquirir \ comprar
a curge	fluir
a curăța	purificar
a cânta	cantar \ tocar
a cântări	pesar
a câştiga	ganhar
a cădea	cair
a căli	temperar
a da	dar
a da afară	rejeitar
a da colțul	bater as botas
a da din cap	acenar \ assentir
a da greș	fazer besteira \ foder tudo
a da nastere la	fazer agitação \ provocar
a da o lovitură de cuţit	esfaquear
a da ortul popii	bater as botas
a da în bară	fazer besteira \ foder tudo
a da înapoi	devolver
a datora	dever
a declanșa	ativar
a decola	decolar \ descolar \ levantar voo
a demite	demitir
a depozita	depositar
a depune mărturie	depor
a desemna	designar \ escolher
a despica	dividir \ fender \ partir \ rachar
a destitui	demitir
a devasta	depredar
a dezarma	desarmar
a dezorienta	confundir \ desconcertar
a dispărea	desaparacer
a distruge	destruir
a diviza	dividir
a dona	doar \ dar \ acender
a dori fierbinte	ter sede
a dormi	dormir
a doua	segundo \ segunda
a duce	ir
a elibera	libertar \ livrar \ salvar \ soltar
a elimina	excretar
a enerva	importunar \ incomodar
