term	translation
Cafarnaúm	Cafarnaum
a	a
a menudo	geralmente / frequentemente
a través	através
a veces	às vezes
a^n	a^n
aaa	aaa
aaaa	aaaa
aab	aab
aac	aac
aad	aad
aae	ape
aaf	aaf
aage	aage
aah	aah
aai	aai
aaiún	aaiún
aal	noni / aal
aalborg	aalborg
aalen	aalen
aaliyah	aaliyah
aalst	aalst
aalto	aalto
aaltonen	aaltonen
aamir	aamir
aan	aan
aang	aang
aap	aap
aar	aar
aarau	aarau
aardman	aardman
aardvark	aardvark
aarhus	aarhus
aarne	aarne
aaron	aaron
aarons	aarons
aaronson	aaronson
aarseth	aarseth
aarón	aaron
aas	aas
aat	aat
aba	aba
abab	abab
ababa	papoila
ababol	papoila
abacería	mercearia
abacha	abacha
abacial	abacial
abaco	abaco
abacus	abacus
abacá	abacá / alvacá
abad	abade
abada	rinoceronte
abaddon	abaddon
abadejo	abadejo / haddock
abadernar	abadernar
abades	abades
abadesa	abadessa
abadesas	abadessas
abadi	abadi
abadiado	abadia / abadado / abadiado
abadiato	abadia / abadado / abadiado
abadie	abadie
abadán	abadan
abadía	abadia
abadías	abadias
abajador	palafreneiro
abajeño	abajenho
abajo	abaixo
abakán	abakan
abal	abal
abalanzar	abalançar
abaluartado	abaluartado
abancay	abancay
abando	abando
abandon	abandon
abandona	abandona
abandonaba	abandonava
abandonaban	abandonavam
abandonada	abandonada
abandonadas	abandonadas
abandonado	abandonado
abandonados	abandonados
abandonan	abandonam
abandonando	abandonando
abandonar	abandonar
abandonaran	abandonassem
abandonaron	abandonaram
abandonará	abandonará
abandonaría	abandonaria
abandonarían	abandonariam
abandone	abandone
abandoned	abandoned
abandonen	abandonem
abandono	abandono
abandoné	abandonei
abandonó	abandonou
abanicar	abanar
abanico	leque
abanicos	leques
abano	abano
abantal	avental
abanto	abanto
abap	abap
abarca	abrange
abarcaba	abrangia
abarcaban	abrangiam
abarcan	abrangem
abarcar	abranger
abarcaron	abrangeram
abarcó	abrangeu
abarema	abarema
abarque	abranja
abarrancar	abarrancar
abarrotado	abarrotado
abarrotar	abarrotar
abarth	abarth
abascal	abascal
abashiri	abashiri
abastece	abastece
abastecedor	fornecedor / abastecedor
abastecen	abastecem
abastecida	abastecida
abastecido	abastecido
abastecidos	abastecidos
abastecimiento	aprovisionamento / abastecimento
abasteció	abasteceu
abastecía	abastecia
abastecían	abasteciam
abasto	abasto
abate	abade
abatido	abatido
abatidos	abatidos
abatimiento	abatimento / desânimo
abatir	abater
abatió	abateu
abaxial	abaxial
abay	abay
abaza	abaza
abb	abb
abba	abba
abbadie	abbadie
abbado	abbado
abbas	abbas
abbate	abbate
abbath	abbath
abbe	abbe
abberline	abberline
abbes	abbes
abbeville	abbeville
abbey	abadia
abbie	abbie
abbildungen	abbildungen
abbondanzieri	abbondanzieri
abbondio	abbondio
abbot	abbot
abbotsford	abbotsford
abbott	abbott
abbottabad	abbottabad
abbreviata	abbreviata
abbreviatus	abbreviatus
abby	abby
abbás	abbas
abbès	abbès
abbé	abbé
abc	abc
abcd	abcd
abd	abd
abdala	abdala
abdalla	abdalla
abdallah	abdallah
abdel	abdel
abdelaziz	abdelaziz
abdelkader	abdelkader
abdelkrim	abdelkrim
